Radionuclide	Sb-125
Route of Intake	Injection
Material	Injection, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	9.7E-1	-	-	2.0E-2	3.0E-3	4.4E-2	4.5E-2
0.083333	9.5E-1	-	-	1.9E-2	3.2E-3	4.5E-2	4.5E-2
0.125	9.3E-1	-	-	1.9E-2	3.3E-3	4.6E-2	4.5E-2
0.25	9.0E-1	-	-	2.0E-2	3.6E-3	4.9E-2	4.7E-2
0.375	8.9E-1	-	-	2.1E-2	4.0E-3	5.2E-2	4.9E-2
0.5	8.7E-1	-	-	2.2E-2	4.2E-3	5.5E-2	5.0E-2
0.625	8.6E-1	-	-	2.3E-2	4.5E-3	5.7E-2	5.1E-2
0.75	8.5E-1	-	-	2.4E-2	4.8E-3	6.0E-2	5.1E-2
0.875	8.4E-1	-	-	2.5E-2	5.0E-3	6.2E-2	5.2E-2
1	8.3E-1	1.7E-1	6.6E-4	2.6E-2	5.3E-3	6.3E-2	5.2E-2
1.125	8.2E-1	-	-	2.6E-2	5.5E-3	6.5E-2	5.2E-2
1.25	8.1E-1	-	-	2.7E-2	5.7E-3	6.6E-2	5.2E-2
1.375	8.0E-1	-	-	2.8E-2	5.9E-3	6.8E-2	5.2E-2
1.5	7.9E-1	-	-	2.8E-2	6.1E-3	6.9E-2	5.2E-2
1.625	7.8E-1	-	-	2.9E-2	6.3E-3	7.0E-2	5.2E-2
1.75	7.7E-1	-	-	2.9E-2	6.4E-3	7.0E-2	5.2E-2
1.875	7.6E-1	-	-	2.9E-2	6.6E-3	7.1E-2	5.1E-2
2	7.5E-1	7.1E-2	5.0E-3	3.0E-2	6.7E-3	7.2E-2	5.1E-2
2.25	7.4E-1	-	-	3.0E-2	7.0E-3	7.2E-2	5.0E-2
2.5	7.2E-1	-	-	3.0E-2	7.2E-3	7.3E-2	4.9E-2
2.75	7.0E-1	-	-	2.9E-2	7.4E-3	7.3E-2	4.7E-2
3	6.9E-1	5.7E-2	8.8E-3	2.9E-2	7.6E-3	7.3E-2	4.6E-2
3.25	6.7E-1	-	-	2.9E-2	7.8E-3	7.2E-2	4.5E-2
3.5	6.6E-1	-	-	2.8E-2	7.9E-3	7.1E-2	4.3E-2
3.75	6.4E-1	-	-	2.7E-2	8.0E-3	7.0E-2	4.2E-2
4	6.3E-1	4.7E-2	9.8E-3	2.7E-2	8.1E-3	6.9E-2	4.0E-2
4.25	6.2E-1	-	-	2.6E-2	8.1E-3	6.8E-2	3.9E-2
4.5	6.0E-1	-	-	2.5E-2	8.2E-3	6.7E-2	3.8E-2
4.75	5.9E-1	-	-	2.5E-2	8.2E-3	6.6E-2	3.6E-2
5	5.8E-1	3.9E-2	9.3E-3	2.4E-2	8.2E-3	6.4E-2	3.5E-2
5.5	5.6E-1	-	-	2.3E-2	8.2E-3	6.1E-2	3.3E-2
6	5.4E-1	3.3E-2	8.2E-3	2.1E-2	8.2E-3	5.8E-2	3.1E-2
6.5	5.2E-1	-	-	2.0E-2	8.1E-3	5.5E-2	2.9E-2
7	5.0E-1	2.8E-2	7.1E-3	1.9E-2	8.0E-3	5.3E-2	2.7E-2
7.5	4.9E-1	-	-	1.8E-2	7.8E-3	5.0E-2	2.5E-2
8	4.7E-1	2.4E-2	6.0E-3	1.7E-2	7.7E-3	4.7E-2	2.4E-2
8.5	4.6E-1	-	-	1.6E-2	7.5E-3	4.4E-2	2.2E-2
9	4.5E-1	2.1E-2	5.1E-3	1.5E-2	7.3E-3	4.1E-2	2.1E-2
9.5	4.4E-1	-	-	1.4E-2	7.1E-3	3.9E-2	2.0E-2
10	4.2E-1	1.8E-2	4.4E-3	1.4E-2	6.9E-3	3.7E-2	1.9E-2
11	4.1E-1	1.5E-2	3.7E-3	1.3E-2	6.5E-3	3.2E-2	1.7E-2
12	3.9E-1	1.3E-2	3.2E-3	1.2E-2	6.0E-3	2.9E-2	1.5E-2
13	3.7E-1	1.2E-2	2.8E-3	1.1E-2	5.6E-3	2.5E-2	1.4E-2
14	3.6E-1	1.0E-2	2.4E-3	1.0E-2	5.2E-3	2.3E-2	1.3E-2
15	3.5E-1	9.2E-3	2.1E-3	9.4E-3	4.8E-3	2.0E-2	1.2E-2
16	3.4E-1	8.2E-3	1.8E-3	8.9E-3	4.4E-3	1.8E-2	1.1E-2
17	3.3E-1	7.3E-3	1.6E-3	8.4E-3	4.1E-3	1.6E-2	1.1E-2
18	3.2E-1	6.6E-3	1.4E-3	8.0E-3	3.7E-3	1.5E-2	1.0E-2
19	3.1E-1	5.9E-3	1.2E-3	7.7E-3	3.4E-3	1.3E-2	9.7E-3
20	3.1E-1	5.4E-3	1.1E-3	7.4E-3	3.2E-3	1.2E-2	9.3E-3
21	3.0E-1	4.9E-3	1.0E-3	7.1E-3	2.9E-3	1.1E-2	9.0E-3
22	3.0E-1	4.5E-3	9.0E-4	6.9E-3	2.7E-3	1.1E-2	8.7E-3
23	2.9E-1	4.1E-3	8.1E-4	6.7E-3	2.4E-3	9.8E-3	8.4E-3
24	2.9E-1	3.8E-3	7.4E-4	6.5E-3	2.2E-3	9.2E-3	8.2E-3
25	2.8E-1	3.6E-3	6.8E-4	6.3E-3	2.1E-3	8.7E-3	8.0E-3
26	2.8E-1	3.4E-3	6.2E-4	6.2E-3	1.9E-3	8.2E-3	7.9E-3
27	2.7E-1	3.2E-3	5.8E-4	6.1E-3	1.7E-3	7.8E-3	7.7E-3
28	2.7E-1	3.0E-3	5.4E-4	5.9E-3	1.6E-3	7.5E-3	7.6E-3
29	2.7E-1	2.8E-3	5.0E-4	5.8E-3	1.5E-3	7.2E-3	7.5E-3
30	2.6E-1	2.7E-3	4.7E-4	5.7E-3	1.4E-3	6.9E-3	7.4E-3
31	2.6E-1	2.6E-3	4.5E-4	5.6E-3	1.3E-3	6.7E-3	7.4E-3
32	2.6E-1	2.5E-3	4.2E-4	5.5E-3	1.2E-3	6.5E-3	7.3E-3
33	2.5E-1	2.4E-3	4.0E-4	5.5E-3	1.1E-3	6.3E-3	7.2E-3
34	2.5E-1	2.3E-3	3.9E-4	5.4E-3	1.0E-3	6.2E-3	7.2E-3
