Radionuclide	Os-191
Route of Intake	Inhalation
Material	Aerosols Type M, fA=2E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.1E-1	-	-	2.8E-1	7.4E-2	2.1E-4	4.9E-4
0.083333	7.9E-1	-	-	3.1E-1	6.9E-2	3.2E-4	7.7E-4
0.125	7.8E-1	-	-	3.4E-1	6.5E-2	4.1E-4	1.0E-3
0.25	7.5E-1	-	-	4.0E-1	5.8E-2	6.1E-4	1.5E-3
0.375	7.3E-1	-	-	4.4E-1	5.5E-2	7.4E-4	1.9E-3
0.5	7.0E-1	-	-	4.7E-1	5.3E-2	8.3E-4	2.1E-3
0.625	6.8E-1	-	-	4.9E-1	5.1E-2	8.9E-4	2.2E-3
0.75	6.5E-1	-	-	4.9E-1	5.0E-2	9.3E-4	2.3E-3
0.875	6.2E-1	-	-	4.8E-1	4.9E-2	9.5E-4	2.4E-3
1	5.8E-1	4.5E-3	8.1E-2	4.7E-1	4.9E-2	9.6E-4	2.4E-3
1.125	5.5E-1	-	-	4.4E-1	4.8E-2	9.7E-4	2.5E-3
1.25	5.1E-1	-	-	4.2E-1	4.7E-2	9.7E-4	2.5E-3
1.375	4.7E-1	-	-	3.9E-1	4.7E-2	9.7E-4	2.5E-3
1.5	4.4E-1	-	-	3.6E-1	4.6E-2	9.6E-4	2.5E-3
1.625	4.0E-1	-	-	3.3E-1	4.6E-2	9.6E-4	2.4E-3
1.75	3.6E-1	-	-	3.0E-1	4.5E-2	9.5E-4	2.4E-3
1.875	3.3E-1	-	-	2.7E-1	4.5E-2	9.4E-4	2.4E-3
2	3.0E-1	1.1E-3	2.4E-1	2.4E-1	4.4E-2	9.4E-4	2.4E-3
2.25	2.4E-1	-	-	1.9E-1	4.3E-2	9.2E-4	2.3E-3
2.5	2.0E-1	-	-	1.4E-1	4.3E-2	9.0E-4	2.3E-3
2.75	1.6E-1	-	-	1.1E-1	4.2E-2	8.9E-4	2.2E-3
3	1.3E-1	7.3E-4	1.5E-1	8.0E-2	4.1E-2	8.7E-4	2.2E-3
3.25	1.1E-1	-	-	5.9E-2	4.0E-2	8.6E-4	2.1E-3
3.5	9.2E-2	-	-	4.3E-2	4.0E-2	8.4E-4	2.1E-3
3.75	7.9E-2	-	-	3.1E-2	3.9E-2	8.3E-4	2.0E-3
4	7.0E-2	5.9E-4	5.5E-2	2.2E-2	3.8E-2	8.1E-4	2.0E-3
4.25	6.3E-2	-	-	1.6E-2	3.8E-2	8.0E-4	1.9E-3
4.5	5.7E-2	-	-	1.1E-2	3.7E-2	7.8E-4	1.9E-3
4.75	5.3E-2	-	-	8.3E-3	3.6E-2	7.7E-4	1.8E-3
5	5.0E-2	5.0E-4	1.6E-2	6.1E-3	3.6E-2	7.6E-4	1.8E-3
5.5	4.6E-2	-	-	3.5E-3	3.5E-2	7.3E-4	1.7E-3
6	4.3E-2	4.3E-4	4.2E-3	2.2E-3	3.4E-2	7.1E-4	1.6E-3
6.5	4.1E-2	-	-	1.5E-3	3.2E-2	6.8E-4	1.5E-3
7	4.0E-2	3.8E-4	1.4E-3	1.2E-3	3.1E-2	6.6E-4	1.5E-3
7.5	3.8E-2	-	-	9.6E-4	3.1E-2	6.4E-4	1.4E-3
8	3.7E-2	3.4E-4	6.5E-4	8.4E-4	3.0E-2	6.2E-4	1.3E-3
8.5	3.6E-2	-	-	7.4E-4	2.9E-2	6.0E-4	1.3E-3
9	3.5E-2	3.0E-4	4.4E-4	6.7E-4	2.8E-2	5.8E-4	1.2E-3
9.5	3.4E-2	-	-	6.1E-4	2.7E-2	5.6E-4	1.1E-3
10	3.2E-2	2.7E-4	3.4E-4	5.6E-4	2.6E-2	5.4E-4	1.1E-3
11	3.1E-2	2.5E-4	2.8E-4	4.7E-4	2.5E-2	5.1E-4	9.9E-4
12	2.9E-2	2.2E-4	2.3E-4	4.0E-4	2.4E-2	4.8E-4	9.0E-4
13	2.7E-2	2.0E-4	1.9E-4	3.5E-4	2.2E-2	4.5E-4	8.2E-4
14	2.6E-2	1.9E-4	1.6E-4	3.0E-4	2.1E-2	4.2E-4	7.5E-4
15	2.4E-2	1.7E-4	1.4E-4	2.6E-4	2.0E-2	4.0E-4	6.9E-4
16	2.3E-2	1.6E-4	1.2E-4	2.3E-4	1.9E-2	3.7E-4	6.3E-4
17	2.2E-2	1.4E-4	1.0E-4	2.1E-4	1.8E-2	3.5E-4	5.8E-4
18	2.0E-2	1.3E-4	9.1E-5	1.8E-4	1.7E-2	3.3E-4	5.4E-4
19	1.9E-2	1.2E-4	8.1E-5	1.7E-4	1.6E-2	3.1E-4	5.0E-4
20	1.8E-2	1.1E-4	7.2E-5	1.5E-4	1.5E-2	3.0E-4	4.6E-4
21	1.7E-2	1.0E-4	6.4E-5	1.4E-4	1.5E-2	2.8E-4	4.3E-4
22	1.6E-2	9.6E-5	5.8E-5	1.3E-4	1.4E-2	2.6E-4	4.0E-4
23	1.5E-2	8.9E-5	5.2E-5	1.2E-4	1.3E-2	2.5E-4	3.7E-4
24	1.5E-2	8.2E-5	4.8E-5	1.1E-4	1.2E-2	2.4E-4	3.4E-4
25	1.4E-2	7.6E-5	4.4E-5	9.8E-5	1.2E-2	2.2E-4	3.2E-4
26	1.3E-2	7.1E-5	4.0E-5	9.1E-5	1.1E-2	2.1E-4	3.0E-4
27	1.2E-2	6.6E-5	3.7E-5	8.5E-5	1.1E-2	2.0E-4	2.8E-4
28	1.2E-2	6.2E-5	3.4E-5	8.0E-5	1.0E-2	1.9E-4	2.6E-4
29	1.1E-2	5.7E-5	3.2E-5	7.4E-5	9.6E-3	1.8E-4	2.5E-4
30	1.1E-2	5.4E-5	3.0E-5	7.0E-5	9.1E-3	1.7E-4	2.3E-4
31	1.0E-2	5.0E-5	2.8E-5	6.5E-5	8.6E-3	1.6E-4	2.2E-4
32	9.6E-3	4.7E-5	2.6E-5	6.2E-5	8.2E-3	1.6E-4	2.0E-4
33	9.1E-3	4.4E-5	2.4E-5	5.8E-5	7.8E-3	1.5E-4	1.9E-4
34	8.6E-3	4.1E-5	2.3E-5	5.5E-5	7.4E-3	1.4E-4	1.8E-4
35	8.2E-3	3.8E-5	2.1E-5	5.1E-5	7.0E-3	1.4E-4	1.7E-4
36	7.8E-3	3.6E-5	2.0E-5	4.9E-5	6.6E-3	1.3E-4	1.6E-4
37	7.4E-3	3.4E-5	1.9E-5	4.6E-5	6.3E-3	1.2E-4	1.5E-4
38	7.0E-3	3.2E-5	1.8E-5	4.3E-5	6.0E-3	1.2E-4	1.4E-4
39	6.7E-3	3.0E-5	1.7E-5	4.1E-5	5.7E-3	1.1E-4	1.4E-4
40	6.3E-3	2.8E-5	1.6E-5	3.9E-5	5.4E-3	1.1E-4	1.3E-4
41	6.0E-3	2.6E-5	1.5E-5	3.7E-5	5.1E-3	1.0E-4	1.2E-4
42	5.7E-3	2.5E-5	1.4E-5	3.5E-5	4.9E-3	9.7E-5	1.2E-4
43	5.4E-3	2.3E-5	1.3E-5	3.3E-5	4.6E-3	9.3E-5	1.1E-4
44	5.1E-3	2.2E-5	1.3E-5	3.1E-5	4.4E-3	8.9E-5	1.0E-4
45	4.9E-3	2.1E-5	1.2E-5	2.9E-5	4.2E-3	8.5E-5	9.8E-5
46	4.6E-3	2.0E-5	1.1E-5	2.8E-5	3.9E-3	8.1E-5	9.3E-5
47	4.4E-3	1.8E-5	1.1E-5	2.6E-5	3.7E-3	7.8E-5	8.8E-5
48	4.2E-3	1.7E-5	1.0E-5	2.5E-5	3.6E-3	7.4E-5	8.4E-5
49	4.0E-3	1.6E-5	9.6E-6	2.4E-5	3.4E-3	7.1E-5	8.0E-5
50	3.8E-3	1.5E-5	9.1E-6	2.2E-5	3.2E-3	6.8E-5	7.6E-5
51	3.6E-3	1.5E-5	8.6E-6	2.1E-5	3.0E-3	6.5E-5	7.2E-5
52	3.4E-3	1.4E-5	8.1E-6	2.0E-5	2.9E-3	6.2E-5	6.8E-5
53	3.2E-3	1.3E-5	7.7E-6	1.9E-5	2.7E-3	5.9E-5	6.5E-5
54	3.1E-3	1.2E-5	7.3E-6	1.8E-5	2.6E-3	5.7E-5	6.2E-5
55	2.9E-3	1.2E-5	6.9E-6	1.7E-5	2.5E-3	5.4E-5	5.9E-5
