Radionuclide	P-32
Route of Intake	Inhalation
Material	Aerosols Type S, fA=8E-3
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.7E-2	6.8E-1	4.3E-5	3.2E-5
0.083333	8.7E-1	-	-	9.3E-2	6.7E-1	1.1E-4	6.9E-5
0.125	8.6E-1	-	-	1.0E-1	6.6E-1	1.8E-4	1.1E-4
0.25	8.5E-1	-	-	1.3E-1	6.5E-1	3.8E-4	2.0E-4
0.375	8.4E-1	-	-	1.5E-1	6.4E-1	5.5E-4	2.8E-4
0.5	8.3E-1	-	-	1.6E-1	6.3E-1	6.8E-4	3.3E-4
0.625	8.2E-1	-	-	1.6E-1	6.2E-1	7.8E-4	3.7E-4
0.75	8.1E-1	-	-	1.7E-1	6.1E-1	8.6E-4	4.0E-4
0.875	7.9E-1	-	-	1.7E-1	6.0E-1	9.2E-4	4.2E-4
1	7.8E-1	6.6E-4	2.6E-2	1.6E-1	6.0E-1	9.7E-4	4.3E-4
1.125	7.6E-1	-	-	1.6E-1	5.9E-1	1.0E-3	4.4E-4
1.25	7.5E-1	-	-	1.5E-1	5.8E-1	1.0E-3	4.5E-4
1.375	7.3E-1	-	-	1.5E-1	5.7E-1	1.0E-3	4.5E-4
1.5	7.2E-1	-	-	1.4E-1	5.7E-1	1.1E-3	4.5E-4
1.625	7.0E-1	-	-	1.3E-1	5.6E-1	1.1E-3	4.5E-4
1.75	6.8E-1	-	-	1.2E-1	5.5E-1	1.1E-3	4.5E-4
1.875	6.7E-1	-	-	1.1E-1	5.5E-1	1.1E-3	4.5E-4
2	6.5E-1	4.1E-4	8.4E-2	1.1E-1	5.4E-1	1.1E-3	4.4E-4
2.25	6.3E-1	-	-	9.2E-2	5.3E-1	1.1E-3	4.4E-4
2.5	6.0E-1	-	-	7.9E-2	5.2E-1	1.0E-3	4.3E-4
2.75	5.8E-1	-	-	6.8E-2	5.0E-1	1.0E-3	4.2E-4
3	5.6E-1	2.7E-4	6.4E-2	5.8E-2	4.9E-1	9.9E-4	4.2E-4
3.25	5.4E-1	-	-	5.1E-2	4.8E-1	9.6E-4	4.1E-4
3.5	5.2E-1	-	-	4.5E-2	4.7E-1	9.4E-4	4.1E-4
3.75	5.1E-1	-	-	4.0E-2	4.6E-1	9.1E-4	4.0E-4
4	5.0E-1	2.0E-4	3.6E-2	3.6E-2	4.5E-1	8.9E-4	3.9E-4
4.25	4.8E-1	-	-	3.3E-2	4.5E-1	8.7E-4	3.9E-4
4.5	4.7E-1	-	-	3.0E-2	4.4E-1	8.5E-4	3.9E-4
4.75	4.6E-1	-	-	2.8E-2	4.3E-1	8.3E-4	3.8E-4
5	4.5E-1	1.6E-4	2.1E-2	2.6E-2	4.2E-1	8.1E-4	3.8E-4
5.5	4.3E-1	-	-	2.2E-2	4.0E-1	7.7E-4	3.7E-4
6	4.2E-1	1.3E-4	1.5E-2	2.0E-2	3.9E-1	7.4E-4	3.6E-4
6.5	4.0E-1	-	-	1.7E-2	3.8E-1	7.2E-4	3.6E-4
7	3.8E-1	1.1E-4	1.1E-2	1.5E-2	3.6E-1	7.0E-4	3.5E-4
7.5	3.7E-1	-	-	1.4E-2	3.5E-1	6.8E-4	3.4E-4
8	3.6E-1	9.1E-5	8.7E-3	1.2E-2	3.4E-1	6.6E-4	3.4E-4
8.5	3.4E-1	-	-	1.1E-2	3.3E-1	6.4E-4	3.3E-4
9	3.3E-1	7.9E-5	6.9E-3	9.6E-3	3.2E-1	6.3E-4	3.2E-4
9.5	3.2E-1	-	-	8.6E-3	3.1E-1	6.1E-4	3.2E-4
10	3.1E-1	6.9E-5	5.4E-3	7.7E-3	3.0E-1	6.0E-4	3.1E-4
11	2.9E-1	6.1E-5	4.3E-3	6.2E-3	2.8E-1	5.7E-4	3.0E-4
12	2.8E-1	5.4E-5	3.5E-3	5.0E-3	2.7E-1	5.5E-4	2.8E-4
13	2.6E-1	4.9E-5	2.8E-3	4.0E-3	2.5E-1	5.3E-4	2.7E-4
14	2.4E-1	4.4E-5	2.3E-3	3.3E-3	2.4E-1	5.1E-4	2.6E-4
15	2.3E-1	4.0E-5	1.8E-3	2.7E-3	2.3E-1	4.9E-4	2.4E-4
16	2.2E-1	3.7E-5	1.5E-3	2.3E-3	2.1E-1	4.7E-4	2.3E-4
17	2.1E-1	3.4E-5	1.2E-3	1.9E-3	2.0E-1	4.6E-4	2.2E-4
18	2.0E-1	3.1E-5	1.0E-3	1.6E-3	1.9E-1	4.4E-4	2.1E-4
19	1.9E-1	2.9E-5	8.8E-4	1.4E-3	1.8E-1	4.3E-4	2.0E-4
20	1.8E-1	2.7E-5	7.4E-4	1.2E-3	1.7E-1	4.1E-4	1.9E-4
21	1.7E-1	2.5E-5	6.4E-4	1.0E-3	1.6E-1	4.0E-4	1.8E-4
22	1.6E-1	2.3E-5	5.5E-4	8.9E-4	1.6E-1	3.8E-4	1.7E-4
23	1.5E-1	2.2E-5	4.8E-4	7.9E-4	1.5E-1	3.7E-4	1.6E-4
24	1.4E-1	2.1E-5	4.2E-4	7.1E-4	1.4E-1	3.6E-4	1.5E-4
25	1.4E-1	1.9E-5	3.8E-4	6.4E-4	1.3E-1	3.4E-4	1.5E-4
26	1.3E-1	1.8E-5	3.4E-4	5.8E-4	1.3E-1	3.3E-4	1.4E-4
27	1.2E-1	1.7E-5	3.1E-4	5.3E-4	1.2E-1	3.2E-4	1.3E-4
28	1.2E-1	1.6E-5	2.8E-4	4.8E-4	1.1E-1	3.1E-4	1.2E-4
29	1.1E-1	1.5E-5	2.6E-4	4.5E-4	1.1E-1	3.0E-4	1.2E-4
30	1.1E-1	1.5E-5	2.4E-4	4.1E-4	1.0E-1	2.9E-4	1.1E-4
31	1.0E-1	1.4E-5	2.2E-4	3.9E-4	9.8E-2	2.7E-4	1.1E-4
32	9.5E-2	1.3E-5	2.0E-4	3.6E-4	9.3E-2	2.6E-4	1.0E-4
33	9.0E-2	1.2E-5	1.9E-4	3.4E-4	8.9E-2	2.5E-4	9.5E-5
34	8.6E-2	1.2E-5	1.8E-4	3.2E-4	8.4E-2	2.5E-4	9.0E-5
35	8.2E-2	1.1E-5	1.7E-4	3.0E-4	8.0E-2	2.4E-4	8.5E-5
36	7.8E-2	1.0E-5	1.6E-4	2.8E-4	7.6E-2	2.3E-4	8.1E-5
37	7.4E-2	9.9E-6	1.5E-4	2.6E-4	7.2E-2	2.2E-4	7.6E-5
38	7.0E-2	9.4E-6	1.4E-4	2.5E-4	6.9E-2	2.1E-4	7.2E-5
39	6.7E-2	8.9E-6	1.3E-4	2.4E-4	6.5E-2	2.0E-4	6.9E-5
40	6.3E-2	8.4E-6	1.2E-4	2.2E-4	6.2E-2	1.9E-4	6.5E-5
41	6.0E-2	8.0E-6	1.2E-4	2.1E-4	5.9E-2	1.9E-4	6.2E-5
42	5.7E-2	7.6E-6	1.1E-4	2.0E-4	5.6E-2	1.8E-4	5.8E-5
43	5.4E-2	7.2E-6	1.0E-4	1.9E-4	5.3E-2	1.7E-4	5.5E-5
44	5.2E-2	6.8E-6	9.9E-5	1.8E-4	5.1E-2	1.7E-4	5.2E-5
45	4.9E-2	6.5E-6	9.4E-5	1.7E-4	4.8E-2	1.6E-4	5.0E-5
46	4.7E-2	6.1E-6	8.9E-5	1.6E-4	4.6E-2	1.5E-4	4.7E-5
47	4.4E-2	5.8E-6	8.4E-5	1.5E-4	4.4E-2	1.5E-4	4.5E-5
48	4.2E-2	5.5E-6	8.0E-5	1.5E-4	4.2E-2	1.4E-4	4.2E-5
49	4.0E-2	5.2E-6	7.6E-5	1.4E-4	3.9E-2	1.4E-4	4.0E-5
50	3.8E-2	5.0E-6	7.2E-5	1.3E-4	3.8E-2	1.3E-4	3.8E-5
51	3.6E-2	4.7E-6	6.8E-5	1.2E-4	3.6E-2	1.3E-4	3.6E-5
52	3.5E-2	4.5E-6	6.5E-5	1.2E-4	3.4E-2	1.2E-4	3.4E-5
53	3.3E-2	4.2E-6	6.1E-5	1.1E-4	3.2E-2	1.2E-4	3.2E-5
54	3.1E-2	4.0E-6	5.8E-5	1.1E-4	3.1E-2	1.1E-4	3.1E-5
55	3.0E-2	3.8E-6	5.5E-5	1.0E-4	2.9E-2	1.1E-4	2.9E-5
56	2.8E-2	3.6E-6	5.3E-5	9.6E-5	2.8E-2	1.0E-4	2.8E-5
57	2.7E-2	3.4E-6	5.0E-5	9.1E-5	2.6E-2	9.9E-5	2.6E-5
58	2.5E-2	3.3E-6	4.7E-5	8.6E-5	2.5E-2	9.5E-5	2.5E-5
59	2.4E-2	3.1E-6	4.5E-5	8.2E-5	2.4E-2	9.1E-5	2.4E-5
60	2.3E-2	2.9E-6	4.3E-5	7.8E-5	2.3E-2	8.7E-5	2.2E-5
61	2.2E-2	2.8E-6	4.1E-5	7.4E-5	2.2E-2	8.4E-5	2.1E-5
62	2.1E-2	2.6E-6	3.9E-5	7.0E-5	2.0E-2	8.0E-5	2.0E-5
63	2.0E-2	2.5E-6	3.7E-5	6.7E-5	1.9E-2	7.7E-5	1.9E-5
64	1.9E-2	2.4E-6	3.5E-5	6.3E-5	1.8E-2	7.4E-5	1.8E-5
65	1.8E-2	2.3E-6	3.3E-5	6.0E-5	1.8E-2	7.1E-5	1.7E-5
66	1.7E-2	2.1E-6	3.1E-5	5.7E-5	1.7E-2	6.8E-5	1.6E-5
67	1.6E-2	2.0E-6	3.0E-5	5.4E-5	1.6E-2	6.5E-5	1.5E-5
68	1.5E-2	1.9E-6	2.8E-5	5.1E-5	1.5E-2	6.2E-5	1.5E-5
69	1.5E-2	1.8E-6	2.7E-5	4.9E-5	1.4E-2	6.0E-5	1.4E-5
70	1.4E-2	1.7E-6	2.5E-5	4.6E-5	1.4E-2	5.7E-5	1.3E-5
71	1.3E-2	1.6E-6	2.4E-5	4.4E-5	1.3E-2	5.5E-5	1.2E-5
72	1.3E-2	1.6E-6	2.3E-5	4.2E-5	1.2E-2	5.3E-5	1.2E-5
73	1.2E-2	1.5E-6	2.2E-5	4.0E-5	1.2E-2	5.1E-5	1.1E-5
74	1.1E-2	1.4E-6	2.1E-5	3.8E-5	1.1E-2	4.8E-5	1.1E-5
75	1.1E-2	1.3E-6	2.0E-5	3.6E-5	1.1E-2	4.6E-5	1.0E-5
76	1.0E-2	1.3E-6	1.9E-5	3.4E-5	1.0E-2	4.5E-5	9.6E-6
77	9.8E-3	1.2E-6	1.8E-5	3.2E-5	9.6E-3	4.3E-5	9.1E-6
78	9.3E-3	1.1E-6	1.7E-5	3.1E-5	9.1E-3	4.1E-5	8.6E-6
79	8.8E-3	1.1E-6	1.6E-5	2.9E-5	8.7E-3	3.9E-5	8.2E-6
80	8.4E-3	1.0E-6	1.5E-5	2.8E-5	8.2E-3	3.8E-5	7.8E-6
81	8.0E-3	9.8E-7	1.4E-5	2.6E-5	7.8E-3	3.6E-5	7.4E-6
82	7.6E-3	9.3E-7	1.4E-5	2.5E-5	7.4E-3	3.4E-5	7.0E-6
83	7.2E-3	8.8E-7	1.3E-5	2.4E-5	7.1E-3	3.3E-5	6.6E-6
