Radionuclide	Gd-149
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide, fA=1E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.7E-2	6.7E-1	1.0E-3	5.7E-4
0.083333	8.7E-1	-	-	9.3E-2	6.6E-1	2.5E-3	1.1E-3
0.125	8.6E-1	-	-	1.0E-1	6.5E-1	4.1E-3	1.6E-3
0.25	8.4E-1	-	-	1.3E-1	6.2E-1	8.5E-3	3.1E-3
0.375	8.3E-1	-	-	1.4E-1	6.0E-1	1.3E-2	4.4E-3
0.5	8.1E-1	-	-	1.5E-1	5.8E-1	1.6E-2	5.6E-3
0.625	8.0E-1	-	-	1.6E-1	5.6E-1	1.9E-2	6.7E-3
0.75	7.8E-1	-	-	1.6E-1	5.4E-1	2.2E-2	7.6E-3
0.875	7.7E-1	-	-	1.6E-1	5.3E-1	2.5E-2	8.5E-3
1	7.5E-1	1.1E-2	2.5E-2	1.6E-1	5.1E-1	2.7E-2	9.2E-3
1.125	7.3E-1	-	-	1.5E-1	5.0E-1	2.9E-2	9.9E-3
1.25	7.1E-1	-	-	1.5E-1	4.9E-1	3.1E-2	1.1E-2
1.375	6.9E-1	-	-	1.4E-1	4.8E-1	3.3E-2	1.1E-2
1.5	6.8E-1	-	-	1.3E-1	4.7E-1	3.4E-2	1.2E-2
1.625	6.6E-1	-	-	1.2E-1	4.6E-1	3.6E-2	1.2E-2
1.75	6.4E-1	-	-	1.1E-1	4.5E-1	3.7E-2	1.2E-2
1.875	6.2E-1	-	-	1.1E-1	4.4E-1	3.8E-2	1.3E-2
2	6.1E-1	6.3E-3	8.0E-2	9.8E-2	4.3E-1	3.9E-2	1.3E-2
2.25	5.8E-1	-	-	8.3E-2	4.1E-1	4.0E-2	1.3E-2
2.5	5.5E-1	-	-	7.0E-2	4.0E-1	4.1E-2	1.4E-2
2.75	5.2E-1	-	-	5.9E-2	3.9E-1	4.1E-2	1.4E-2
3	5.0E-1	3.0E-3	5.8E-2	5.0E-2	3.7E-1	4.2E-2	1.4E-2
3.25	4.8E-1	-	-	4.2E-2	3.6E-1	4.2E-2	1.4E-2
3.5	4.6E-1	-	-	3.7E-2	3.5E-1	4.2E-2	1.4E-2
3.75	4.5E-1	-	-	3.2E-2	3.4E-1	4.2E-2	1.4E-2
4	4.3E-1	1.5E-3	3.0E-2	2.8E-2	3.3E-1	4.2E-2	1.4E-2
4.25	4.2E-1	-	-	2.5E-2	3.2E-1	4.1E-2	1.4E-2
4.5	4.1E-1	-	-	2.3E-2	3.1E-1	4.1E-2	1.4E-2
4.75	4.0E-1	-	-	2.0E-2	3.0E-1	4.1E-2	1.3E-2
5	3.9E-1	8.3E-4	1.6E-2	1.9E-2	3.0E-1	4.0E-2	1.3E-2
5.5	3.7E-1	-	-	1.6E-2	2.8E-1	3.9E-2	1.3E-2
6	3.5E-1	5.3E-4	1.0E-2	1.4E-2	2.7E-1	3.8E-2	1.3E-2
6.5	3.3E-1	-	-	1.2E-2	2.5E-1	3.7E-2	1.2E-2
7	3.1E-1	4.0E-4	7.5E-3	1.0E-2	2.4E-1	3.6E-2	1.2E-2
7.5	3.0E-1	-	-	9.1E-3	2.3E-1	3.5E-2	1.2E-2
8	2.9E-1	3.2E-4	5.6E-3	8.0E-3	2.2E-1	3.4E-2	1.1E-2
8.5	2.7E-1	-	-	7.1E-3	2.1E-1	3.3E-2	1.1E-2
9	2.6E-1	2.8E-4	4.3E-3	6.2E-3	2.0E-1	3.2E-2	1.1E-2
9.5	2.5E-1	-	-	5.5E-3	1.9E-1	3.1E-2	1.0E-2
10	2.4E-1	2.5E-4	3.3E-3	4.9E-3	1.8E-1	3.0E-2	1.0E-2
11	2.2E-1	2.2E-4	2.6E-3	3.8E-3	1.7E-1	2.9E-2	9.4E-3
12	2.0E-1	2.0E-4	2.0E-3	3.0E-3	1.5E-1	2.7E-2	8.8E-3
13	1.8E-1	1.8E-4	1.6E-3	2.4E-3	1.4E-1	2.5E-2	8.3E-3
14	1.7E-1	1.7E-4	1.2E-3	1.9E-3	1.3E-1	2.4E-2	7.7E-3
15	1.6E-1	1.5E-4	9.7E-4	1.6E-3	1.2E-1	2.2E-2	7.3E-3
16	1.4E-1	1.4E-4	7.8E-4	1.3E-3	1.1E-1	2.1E-2	6.8E-3
17	1.3E-1	1.3E-4	6.2E-4	1.1E-3	9.8E-2	2.0E-2	6.4E-3
18	1.2E-1	1.1E-4	5.1E-4	8.9E-4	9.0E-2	1.9E-2	6.0E-3
19	1.1E-1	1.1E-4	4.1E-4	7.5E-4	8.3E-2	1.7E-2	5.6E-3
20	1.0E-1	9.6E-5	3.4E-4	6.4E-4	7.7E-2	1.6E-2	5.3E-3
21	9.7E-2	8.8E-5	2.9E-4	5.5E-4	7.0E-2	1.5E-2	4.9E-3
22	9.0E-2	8.1E-5	2.4E-4	4.8E-4	6.5E-2	1.4E-2	4.6E-3
23	8.3E-2	7.4E-5	2.0E-4	4.2E-4	6.0E-2	1.4E-2	4.3E-3
24	7.7E-2	6.8E-5	1.8E-4	3.7E-4	5.5E-2	1.3E-2	4.1E-3
25	7.1E-2	6.3E-5	1.5E-4	3.3E-4	5.1E-2	1.2E-2	3.8E-3
26	6.6E-2	5.8E-5	1.3E-4	2.9E-4	4.7E-2	1.1E-2	3.6E-3
27	6.1E-2	5.3E-5	1.2E-4	2.6E-4	4.3E-2	1.0E-2	3.3E-3
28	5.6E-2	4.9E-5	1.0E-4	2.4E-4	4.0E-2	9.8E-3	3.1E-3
29	5.2E-2	4.5E-5	9.2E-5	2.2E-4	3.7E-2	9.2E-3	2.9E-3
30	4.8E-2	4.2E-5	8.2E-5	2.0E-4	3.4E-2	8.6E-3	2.7E-3
31	4.5E-2	3.8E-5	7.4E-5	1.8E-4	3.1E-2	8.1E-3	2.5E-3
32	4.1E-2	3.5E-5	6.7E-5	1.6E-4	2.9E-2	7.6E-3	2.4E-3
33	3.8E-2	3.2E-5	6.0E-5	1.5E-4	2.6E-2	7.1E-3	2.2E-3
34	3.5E-2	3.0E-5	5.5E-5	1.4E-4	2.4E-2	6.6E-3	2.1E-3
35	3.3E-2	2.8E-5	5.0E-5	1.3E-4	2.2E-2	6.2E-3	2.0E-3
36	3.0E-2	2.5E-5	4.5E-5	1.2E-4	2.1E-2	5.8E-3	1.8E-3
37	2.8E-2	2.3E-5	4.1E-5	1.1E-4	1.9E-2	5.5E-3	1.7E-3
38	2.6E-2	2.2E-5	3.8E-5	9.9E-5	1.8E-2	5.1E-3	1.6E-3
39	2.4E-2	2.0E-5	3.5E-5	9.1E-5	1.6E-2	4.8E-3	1.5E-3
40	2.2E-2	1.8E-5	3.2E-5	8.4E-5	1.5E-2	4.5E-3	1.4E-3
41	2.1E-2	1.7E-5	2.9E-5	7.8E-5	1.4E-2	4.2E-3	1.3E-3
42	1.9E-2	1.6E-5	2.7E-5	7.2E-5	1.3E-2	3.9E-3	1.2E-3
43	1.8E-2	1.4E-5	2.5E-5	6.6E-5	1.2E-2	3.7E-3	1.1E-3
44	1.6E-2	1.3E-5	2.3E-5	6.1E-5	1.1E-2	3.4E-3	1.1E-3
45	1.5E-2	1.2E-5	2.1E-5	5.6E-5	9.9E-3	3.2E-3	9.9E-4
46	1.4E-2	1.1E-5	1.9E-5	5.2E-5	9.1E-3	3.0E-3	9.3E-4
47	1.3E-2	1.0E-5	1.8E-5	4.8E-5	8.4E-3	2.8E-3	8.6E-4
48	1.2E-2	9.7E-6	1.6E-5	4.5E-5	7.7E-3	2.6E-3	8.1E-4
49	1.1E-2	8.9E-6	1.5E-5	4.1E-5	7.1E-3	2.5E-3	7.5E-4
50	1.0E-2	8.2E-6	1.4E-5	3.8E-5	6.6E-3	2.3E-3	7.0E-4
51	9.6E-3	7.6E-6	1.3E-5	3.5E-5	6.1E-3	2.1E-3	6.6E-4
52	8.9E-3	7.0E-6	1.2E-5	3.3E-5	5.6E-3	2.0E-3	6.1E-4
53	8.2E-3	6.5E-6	1.1E-5	3.0E-5	5.2E-3	1.9E-3	5.7E-4
54	7.6E-3	6.0E-6	9.8E-6	2.8E-5	4.8E-3	1.8E-3	5.3E-4
55	7.0E-3	5.5E-6	9.0E-6	2.6E-5	4.4E-3	1.6E-3	5.0E-4
56	6.5E-3	5.1E-6	8.3E-6	2.4E-5	4.0E-3	1.5E-3	4.6E-4
57	6.0E-3	4.7E-6	7.7E-6	2.2E-5	3.7E-3	1.4E-3	4.3E-4
58	5.6E-3	4.3E-6	7.1E-6	2.0E-5	3.4E-3	1.3E-3	4.0E-4
59	5.2E-3	4.0E-6	6.5E-6	1.9E-5	3.2E-3	1.2E-3	3.8E-4
60	4.8E-3	3.7E-6	6.0E-6	1.7E-5	2.9E-3	1.2E-3	3.5E-4
61	4.4E-3	3.4E-6	5.5E-6	1.6E-5	2.7E-3	1.1E-3	3.3E-4
62	4.1E-3	3.1E-6	5.1E-6	1.5E-5	2.5E-3	1.0E-3	3.1E-4
63	3.8E-3	2.9E-6	4.7E-6	1.4E-5	2.3E-3	9.5E-4	2.9E-4
64	3.5E-3	2.7E-6	4.3E-6	1.3E-5	2.1E-3	8.9E-4	2.7E-4
65	3.3E-3	2.5E-6	4.0E-6	1.2E-5	1.9E-3	8.3E-4	2.5E-4
66	3.0E-3	2.3E-6	3.6E-6	1.1E-5	1.8E-3	7.7E-4	2.3E-4
67	2.8E-3	2.1E-6	3.4E-6	1.0E-5	1.6E-3	7.2E-4	2.2E-4
68	2.6E-3	2.0E-6	3.1E-6	9.3E-6	1.5E-3	6.7E-4	2.0E-4
69	2.4E-3	1.8E-6	2.8E-6	8.6E-6	1.4E-3	6.3E-4	1.9E-4
70	2.2E-3	1.7E-6	2.6E-6	8.0E-6	1.3E-3	5.9E-4	1.8E-4
