Radionuclide	Sc-46
Route of Intake	Injection
Material	Injection, fA=1E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	6.4E-2	8.6E-2	1.1E-1
0.083333	1.0E+0	-	-	5.9E-2	1.0E-1	1.3E-1
0.125	1.0E+0	-	-	5.4E-2	1.1E-1	1.4E-1
0.25	9.9E-1	-	-	4.4E-2	1.4E-1	1.6E-1
0.375	9.9E-1	-	-	3.7E-2	1.7E-1	1.7E-1
0.5	9.8E-1	-	-	3.3E-2	1.8E-1	1.8E-1
0.625	9.8E-1	-	-	3.0E-2	1.9E-1	1.9E-1
0.75	9.8E-1	-	-	2.9E-2	2.0E-1	1.9E-1
0.875	9.8E-1	-	-	2.8E-2	2.1E-1	2.0E-1
1	9.7E-1	1.7E-2	3.2E-4	2.8E-2	2.1E-1	2.0E-1
1.125	9.7E-1	-	-	2.8E-2	2.2E-1	2.0E-1
1.25	9.7E-1	-	-	2.8E-2	2.2E-1	2.0E-1
1.375	9.7E-1	-	-	2.8E-2	2.2E-1	2.0E-1
1.5	9.7E-1	-	-	2.9E-2	2.3E-1	1.9E-1
1.625	9.7E-1	-	-	2.9E-2	2.3E-1	1.9E-1
1.75	9.6E-1	-	-	2.9E-2	2.3E-1	1.9E-1
1.875	9.6E-1	-	-	2.9E-2	2.3E-1	1.9E-1
2	9.6E-1	3.0E-3	3.6E-3	2.9E-2	2.4E-1	1.9E-1
2.25	9.6E-1	-	-	2.9E-2	2.4E-1	1.9E-1
2.5	9.5E-1	-	-	2.9E-2	2.4E-1	1.8E-1
2.75	9.5E-1	-	-	2.9E-2	2.5E-1	1.8E-1
3	9.4E-1	1.8E-3	7.3E-3	2.9E-2	2.5E-1	1.8E-1
3.25	9.4E-1	-	-	2.8E-2	2.5E-1	1.8E-1
3.5	9.3E-1	-	-	2.8E-2	2.6E-1	1.7E-1
3.75	9.3E-1	-	-	2.7E-2	2.6E-1	1.7E-1
4	9.2E-1	1.5E-3	8.4E-3	2.6E-2	2.6E-1	1.7E-1
4.25	9.2E-1	-	-	2.6E-2	2.6E-1	1.6E-1
4.5	9.2E-1	-	-	2.5E-2	2.7E-1	1.6E-1
4.75	9.1E-1	-	-	2.5E-2	2.7E-1	1.6E-1
5	9.1E-1	1.3E-3	8.1E-3	2.4E-2	2.7E-1	1.6E-1
5.5	9.0E-1	-	-	2.3E-2	2.8E-1	1.5E-1
6	8.9E-1	1.1E-3	7.3E-3	2.2E-2	2.8E-1	1.5E-1
6.5	8.8E-1	-	-	2.1E-2	2.8E-1	1.4E-1
7	8.8E-1	9.5E-4	6.5E-3	2.0E-2	2.9E-1	1.4E-1
7.5	8.7E-1	-	-	1.9E-2	2.9E-1	1.4E-1
8	8.6E-1	8.3E-4	5.8E-3	1.8E-2	2.9E-1	1.3E-1
8.5	8.6E-1	-	-	1.7E-2	2.9E-1	1.3E-1
9	8.5E-1	7.3E-4	5.1E-3	1.7E-2	3.0E-1	1.3E-1
9.5	8.4E-1	-	-	1.6E-2	3.0E-1	1.2E-1
10	8.4E-1	6.5E-4	4.5E-3	1.5E-2	3.0E-1	1.2E-1
11	8.3E-1	5.8E-4	3.9E-3	1.4E-2	3.0E-1	1.2E-1
12	8.2E-1	5.2E-4	3.5E-3	1.3E-2	3.0E-1	1.1E-1
13	8.1E-1	4.7E-4	3.1E-3	1.2E-2	3.1E-1	1.1E-1
