Radionuclide	Eu-154
Route of Intake	Inhalation
Material	Aerosols Dioxide, fA=5E-7
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	2.9E-1	-	-	4.3E-2	1.8E-1	2.3E-6	2.0E-6
0.083333	2.9E-1	-	-	4.9E-2	1.8E-1	5.5E-6	4.4E-6
0.125	2.9E-1	-	-	5.4E-2	1.8E-1	8.9E-6	6.9E-6
0.25	2.9E-1	-	-	6.6E-2	1.8E-1	1.9E-5	1.4E-5
0.375	2.8E-1	-	-	7.3E-2	1.8E-1	2.9E-5	2.1E-5
0.5	2.8E-1	-	-	7.9E-2	1.8E-1	3.9E-5	2.8E-5
0.625	2.8E-1	-	-	8.2E-2	1.8E-1	4.9E-5	3.5E-5
0.75	2.7E-1	-	-	8.3E-2	1.8E-1	5.8E-5	4.2E-5
0.875	2.7E-1	-	-	8.3E-2	1.7E-1	6.7E-5	4.8E-5
1	2.6E-1	4.0E-5	1.4E-2	8.1E-2	1.7E-1	7.6E-5	5.5E-5
1.125	2.6E-1	-	-	7.9E-2	1.7E-1	8.5E-5	6.1E-5
1.25	2.5E-1	-	-	7.5E-2	1.7E-1	9.4E-5	6.8E-5
1.375	2.5E-1	-	-	7.1E-2	1.7E-1	1.0E-4	7.4E-5
1.5	2.4E-1	-	-	6.6E-2	1.7E-1	1.1E-4	8.0E-5
1.625	2.4E-1	-	-	6.2E-2	1.7E-1	1.2E-4	8.6E-5
1.75	2.3E-1	-	-	5.7E-2	1.7E-1	1.3E-4	9.2E-5
1.875	2.2E-1	-	-	5.2E-2	1.7E-1	1.4E-4	9.7E-5
2	2.2E-1	4.0E-5	4.4E-2	4.8E-2	1.7E-1	1.4E-4	1.0E-4
2.25	2.1E-1	-	-	3.9E-2	1.7E-1	1.6E-4	1.1E-4
2.5	2.0E-1	-	-	3.2E-2	1.7E-1	1.8E-4	1.3E-4
2.75	1.9E-1	-	-	2.6E-2	1.7E-1	1.9E-4	1.4E-4
3	1.9E-1	3.6E-5	3.1E-2	2.1E-2	1.7E-1	2.1E-4	1.5E-4
3.25	1.8E-1	-	-	1.7E-2	1.6E-1	2.2E-4	1.6E-4
3.5	1.8E-1	-	-	1.4E-2	1.6E-1	2.3E-4	1.7E-4
